timestamp_actual,operation,operationCount
2015-09-04 07:00:00.000,target_clicked,22
2015-09-04 07:00:00.000,select,11
2015-09-04 07:00:00.000,scroll_up,143
2015-09-04 15:20:00.000,target_clicked,15
2015-09-04 15:20:00.000,scroll_down,522
2015-09-04 15:20:00.000,scroll_up,99
2015-09-04 18:06:40.000,select,3
2015-09-04 18:06:40.000,scroll_up,480
2015-09-04 18:06:40.000,target_clicked,23
2015-09-04 18:06:40.000,scroll_down,662
2015-09-04 20:53:20.000,scroll_up,361
2015-09-04 20:53:20.000,select,1
2015-09-04 20:53:20.000,target_clicked,9
2015-09-04 20:53:20.000,scroll_down,1406
2015-09-04 23:40:00.000,scroll_down,1831
2015-09-04 23:40:00.000,select,8
2015-09-04 23:40:00.000,scroll_up,248
2015-09-04 23:40:00.000,target_clicked,48
2015-09-05 02:26:40.000,scroll_up,119
2015-09-05 02:26:40.000,target_clicked,8
2015-09-05 02:26:40.000,scroll_down,442
2015-09-06 00:40:00.000,scroll_up,1
2015-09-06 00:40:00.000,scroll_down,1
2015-09-06 06:13:20.000,scroll_down,123
2015-09-06 06:13:20.000,select,3
2015-09-06 06:13:20.000,scroll_up,121
2015-09-06 06:13:20.000,target_clicked,27
2015-09-06 20:06:40.000,scroll_up,91
2015-09-06 20:06:40.000,target_clicked,3
2015-09-06 20:06:40.000,scroll_down,919
2015-09-06 22:53:20.000,target_clicked,4
2015-09-06 22:53:20.000,scroll_down,21
2015-09-07 01:40:00.000,scroll_up,172
2015-09-07 01:40:00.000,target_clicked,4
2015-09-07 01:40:00.000,scroll_down,633
2015-09-07 04:26:40.000,scroll_up,189
2015-09-07 04:26:40.000,target_clicked,3
2015-09-07 04:26:40.000,scroll_down,523
2015-09-07 23:53:20.000,scroll_down,156
2015-09-07 23:53:20.000,target_clicked,13
2015-09-07 23:53:20.000,scroll_up,136
2015-09-08 02:40:00.000,target_clicked,2
2015-09-08 02:40:00.000,scroll_up,29
2015-09-08 02:40:00.000,scroll_down,63
2015-09-08 05:26:40.000,scroll_down,90
2015-09-08 05:26:40.000,target_clicked,4
2015-09-08 05:26:40.000,scroll_up,65
2015-09-08 08:13:20.000,scroll_up,104
2015-09-08 08:13:20.000,scroll_down,57
2015-09-09 00:53:20.000,scroll_down,250
2015-09-09 00:53:20.000,scroll_up,20
2015-09-09 00:53:20.000,target_clicked,1
2015-09-09 06:26:40.000,scroll_down,78
2015-09-09 20:20:00.000,target_clicked,1
2015-09-09 20:20:00.000,scroll_up,45
2015-09-09 20:20:00.000,scroll_down,962
2015-09-09 23:06:40.000,scroll_up,27
2015-09-09 23:06:40.000,target_clicked,1
2015-09-09 23:06:40.000,scroll_down,100
2015-09-10 01:53:20.000,scroll_up,149
2015-09-10 01:53:20.000,target_clicked,16
2015-09-10 01:53:20.000,scroll_down,148
2015-09-10 04:40:00.000,scroll_up,2
2015-09-10 04:40:00.000,scroll_down,15
2015-09-10 18:33:20.000,scroll_up,2
2015-09-10 18:33:20.000,scroll_down,171
2015-09-10 21:20:00.000,scroll_up,164
2015-09-10 21:20:00.000,scroll_down,638
2015-09-10 21:20:00.000,target_clicked,7
2015-09-11 00:06:40.000,scroll_down,716
2015-09-11 00:06:40.000,target_clicked,1
2015-09-11 00:06:40.000,scroll_up,20
2015-09-11 02:53:20.000,target_clicked,10
2015-09-11 02:53:20.000,scroll_down,241
2015-09-11 02:53:20.000,select,2
2015-09-11 02:53:20.000,scroll_up,106
2015-09-11 11:13:20.000,scroll_down,18
2015-09-11 11:13:20.000,scroll_up,5
2015-09-11 14:00:00.000,scroll_down,94
2015-09-11 16:46:40.000,scroll_down,148
2015-09-11 16:46:40.000,scroll_up,39
2015-09-11 19:33:20.000,scroll_up,251
2015-09-11 19:33:20.000,scroll_down,525
2015-09-11 19:33:20.000,target_clicked,2
2015-09-11 22:20:00.000,target_clicked,2
2015-09-11 22:20:00.000,scroll_up,233
2015-09-11 22:20:00.000,scroll_down,890
2015-09-12 01:06:40.000,scroll_down,561
2015-09-12 01:06:40.000,select,3
2015-09-12 01:06:40.000,target_clicked,15
2015-09-12 01:06:40.000,scroll_up,185
2015-09-12 23:20:00.000,scroll_up,52
2015-09-12 23:20:00.000,select,1
2015-09-12 23:20:00.000,target_clicked,4
2015-09-12 23:20:00.000,scroll_down,51
2015-09-13 02:06:40.000,target_clicked,2
2015-09-13 02:06:40.000,scroll_down,61
2015-09-13 02:06:40.000,scroll_up,28
2015-09-14 03:06:40.000,scroll_down,37
2015-09-14 03:06:40.000,target_clicked,4
2015-09-14 03:06:40.000,scroll_up,35
2015-09-14 05:53:20.000,select,1
2015-09-14 05:53:20.000,scroll_up,641
2015-09-14 05:53:20.000,target_clicked,14
2015-09-14 05:53:20.000,scroll_down,821
2015-09-14 17:00:00.000,target_clicked,1
2015-09-14 17:00:00.000,scroll_down,97
2015-09-15 04:06:40.000,scroll_down,11
2015-09-15 04:06:40.000,target_clicked,5
2015-09-15 20:46:40.000,target_clicked,9
2015-09-15 20:46:40.000,scroll_down,3062
2015-09-15 20:46:40.000,scroll_up,142
2015-09-15 20:46:40.000,select,1
2015-09-15 23:33:20.000,scroll_down,3429
2015-09-15 23:33:20.000,target_clicked,4
2015-09-15 23:33:20.000,scroll_up,319
2015-09-16 02:20:00.000,select,3
2015-09-16 02:20:00.000,scroll_up,202
2015-09-16 02:20:00.000,target_clicked,13
